id,created_at,text
341555857810673664,2013-06-03 14:03:56,b'this sub in intergrated tech is brutal'
341381242375249920,2013-06-03 02:30:05,b'the amount of information you actually remember and use from school is stupidly low'
340539986870943744,2013-05-31 18:47:14,b'@Bsotz15 yaaaahbuddy'
340532319649669123,2013-05-31 18:16:46,b'i wanna watch now you see me #looksgood'
340078584972599297,2013-05-30 12:13:47,b'gotta love that guy taking half the space with his legs in the seat #goddamn'
339550764483629057,2013-05-29 01:16:25,b'i dont know when ill get over my @MirandaCosgrove obsession'
339530433526128640,2013-05-28 23:55:38,b'saddest thing ever - fat kids dropping their food #realtalk'
336846277960675328,2013-05-21 14:09:45,b'@ThayerGavin swaggy?'
336663561269035008,2013-05-21 02:03:42,b'fail this geo quiz tommorow there goes my summer.. #underpressure'
336531927999840257,2013-05-20 17:20:38,b'holy cow guys new xbox reveal tommorow #gethyped'
336173433564037122,2013-05-19 17:36:07,b'my basement is the best during hot weather #cold'
335406397271457793,2013-05-17 14:48:11,b'playing doodle jump in world history #lonerstatus #shouldveskipped'
335222109422891010,2013-05-17 02:35:53,"b'u get to the point in school where u just say ""screw it"" #summer2013'"
335219789909860352,2013-05-17 02:26:40,b'@littlelivss i just spent 40 minutes making new short definitions to memorize it #prepared'
335210651150606336,2013-05-17 01:50:21,b'time to study for hoyles test #toomuchvocab'
335206957562617857,2013-05-17 01:35:41,b'math would be so easy if there was a teacher who could properly teach it'
334725904645386240,2013-05-15 17:44:09,b'dup'
334473793340841984,2013-05-15 01:02:21,b'RT @AmishJackers: Had the conversation of the decade today with @jakemogg @figthenig @ConWare @LukasPrin @onstott82 and @treycase07 #dope'
333787236904615937,2013-05-13 03:34:13,"b'u know after this sydney shit, maybe this a good lesson not to follow random people #commonsense'"
333767388287873026,2013-05-13 02:15:21,b'@LiLCBaller23 lol 17 out of 30 #notashamed'
333766704553410561,2013-05-13 02:12:38,b'of course i get a crap grade as soon as mrs epple come backs to teach math #bringhayesback'
333714749940436992,2013-05-12 22:46:11,b'so when did all girls love country?'
333596820171268097,2013-05-12 14:57:34,b'asian accents are so funny'
333582834084237313,2013-05-12 14:01:59,b'wth hail in May?'
333218653468233728,2013-05-11 13:54:52,b'@ConWare happy bday big boy!'
332920999211315200,2013-05-10 18:12:06,b'randy jackson is leaving american idol??  #gg'
332886639233867777,2013-05-10 15:55:34,b'@figthenig agreed to join the KKK #wth'
